date,rate,volume,cap,liquidity
2022-05-04 07:00:00,0.78315764123109,436425638,25112938254,68802505
2022-05-04 08:00:00,0.792165304221262,450605359,25401780337,64504148
2022-05-04 09:00:00,0.8017480938595068,481763570,25709064582,57129240
2022-05-04 10:00:00,0.8002715780588056,503440749,25661718239,70168359
2022-05-04 11:00:00,0.8149399217483115,543159117,26132077193,67270763
2022-05-04 12:00:00,0.8224144783119809,591764360,26371758284,65119842
2022-05-04 13:00:00,0.8231287584819036,636778277,26394662579,64856250
2022-05-04 14:00:00,0.822664712651857,662158367,26379782364,65433001
2022-05-04 15:00:00,0.8241233010823031,686512458,26426553843,63105066
2022-05-04 16:00:00,0.8288324627042162,722258149,26577559054,66364254
2022-05-04 17:00:00,0.8318759901659915,747079805,26675153604,66696362
2022-05-04 18:00:00,0.8308560412309045,763272649,26642447654,61394520
2022-05-04 19:00:00,0.8551306648465146,875666725,27420844099,52496697
2022-05-04 20:00:00,0.8621114437716909,927625597,27644691586,56908895
2022-05-04 21:00:00,0.8671283286643595,957272038,27805564332,64422188
2022-05-04 22:00:00,0.8813934774766987,990179490,28262994334,48451076
2022-05-04 23:00:00,0.8883686660045095,1053273926,28486662558,66063803
2022-05-05 00:00:00,0.8960769230421913,1077002830,28733837550,62599110
2022-05-05 01:00:00,0.8920954481346878,1104467157,28606166531,63947003
2022-05-05 02:00:00,0.8907072601767936,1134722755,28561652532,70486021
2022-05-05 03:00:00,0.8928800548742755,1160729150,28631325937,71598705
2022-05-05 04:00:00,0.8830854251869608,1187076241,28317248773,68724228
2022-05-05 05:00:00,0.8791785174420093,1220020348,28191968845,68575117
2022-05-05 06:00:00,0.862518171494127,1246321538,27657733824,65560872
2022-05-05 07:00:00,0.8612702952132569,1264684661,27617719096,71526182
2022-05-05 08:00:00,0.873467322669847,1288141475,28008832176,72223824
2022-05-05 09:00:00,0.8668874986194359,1266482987,27797841813,66981484
2022-05-05 10:00:00,0.8665779692900035,1257588512,27787916364,72029926
2022-05-05 11:00:00,0.8665856219104234,1234824542,27788161755,74509922
2022-05-05 12:00:00,0.8599221093903409,1177475413,27574487816,72431918
2022-05-05 13:00:00,0.8592159674371739,1141528857,27551844483,73171060
2022-05-05 14:00:00,0.8437538721893288,1138700967,27056032883,61857427
2022-05-05 15:00:00,0.8283873035845369,1156922512,26563284465,64720926
2022-05-05 16:00:00,0.8001982385813293,1209675766,25659366516,54431874
2022-05-05 17:00:00,0.7999185338641731,1233706724,25650397431,58217621
2022-05-05 18:00:00,0.7926646379081276,1233302164,25417792102,53620119
2022-05-05 19:00:00,0.7997870910213628,1225334975,25646182550,43401794
