Week,Week,cardano price
2023-01-15,2023-01-15,7
2023-01-22,2023-01-22,7
2023-01-29,2023-01-29,8
2023-02-05,2023-02-05,6
2023-02-12,2023-02-12,6
2023-02-19,2023-02-19,6
2023-02-26,2023-02-26,4
2023-03-05,2023-03-05,4
2023-03-12,2023-03-12,6
2023-03-19,2023-03-19,7
2023-03-26,2023-03-26,6
2023-04-02,2023-04-02,6
2023-04-09,2023-04-09,8
2023-04-16,2023-04-16,7
2023-04-23,2023-04-23,6
2023-04-30,2023-04-30,5
2023-05-07,2023-05-07,5
2023-05-14,2023-05-14,4
2023-05-21,2023-05-21,4
2023-05-28,2023-05-28,5
2023-06-04,2023-06-04,7
2023-06-11,2023-06-11,6
2023-06-18,2023-06-18,6
2023-06-25,2023-06-25,5
2023-07-02,2023-07-02,4
2023-07-09,2023-07-09,6
2023-07-16,2023-07-16,6
2023-07-23,2023-07-23,5
2023-07-30,2023-07-30,4
2023-08-06,2023-08-06,4
2023-08-13,2023-08-13,4
2023-08-20,2023-08-20,4
2023-08-27,2023-08-27,4
2023-09-03,2023-09-03,4
2023-09-10,2023-09-10,4
2023-09-17,2023-09-17,4
2023-09-24,2023-09-24,4
2023-10-01,2023-10-01,4
2023-10-08,2023-10-08,3
2023-10-15,2023-10-15,4
2023-10-22,2023-10-22,6
2023-10-29,2023-10-29,7
2023-11-05,2023-11-05,10
2023-11-12,2023-11-12,8
2023-11-19,2023-11-19,7
2023-11-26,2023-11-26,7
2023-12-03,2023-12-03,15
2023-12-10,2023-12-10,16
2023-12-17,2023-12-17,12
2023-12-24,2023-12-24,13
2023-12-31,2023-12-31,11
2024-01-07,2024-01-07,12
2024-01-14,2024-01-14,8
2024-01-21,2024-01-21,6
2024-01-28,2024-01-28,6
2024-02-04,2024-02-04,6
2024-02-11,2024-02-11,10
2024-02-18,2024-02-18,10
2024-02-25,2024-02-25,16
2024-03-03,2024-03-03,19
2024-03-10,2024-03-10,15
2024-03-17,2024-03-17,10
2024-03-24,2024-03-24,9
